name	x	y	z	size
Frnt1	8.90254873	-34.27705711	26.50463432	2.0106
Frnt2	8.90254873	-36.15225714	25.00463426	2.0106
Frnt3	8.90254873	-38.02745718	23.20463419	2.0106
Frnt4	8.90254873	-38.96505719	21.10463411	2.0106
Frnt5	8.433748722	-39.90265721	18.10463399	2.0106
Frnt6	7.964948714	-40.37145722	16.0046339	2.0106
Frnt7	11.71534878	-33.8082571	25.9046343	2.0106
Frnt8	12.18414879	-35.33185713	23.87963422	2.0106
Frnt9	12.6529488	-36.85545716	21.85463414	2.0106
Frnt10	12.6529488	-38.02745718	19.90463406	2.0106
Frnt11	12.6529488	-38.49625719	17.50463396	2.0106
Frnt12	11.7	-38.5	15.1	2.0106
Temp1	21.56014895	-31.46425706	-2.895366848	2.0106
Temp2	20.62254894	-32.87065709	-1.095366776	2.0106
Temp3	19.68494892	-34.27705711	0.404633284	2.0106
Temp4	18.2785489	-35.21465713	2.504633367	2.0106
Temp5	17.34094888	-36.15225714	4.004633427	2.0106
Temp6	21.56014895	-33.33945709	-5.295366943	2.0106
Temp7	19.68494892	-34.74585712	-3.495366871	2.0106
Temp8	18.2785489	-36.15225714	-2.295366824	2.0106
Temp9	16.87214887	-37.55865717	-0.795366764	2.0106
Temp10	15.46574885	-38.96505719	-0.19536674	2.0106
Occ1	14.05934882	-38.96505719	-12.19536722	2.0106
Occ2	14.05934882	-38.96505719	-9.49536711	2.0106
Occ3	14.05934882	-38.96505719	-6.195366979	2.0106
Occ4	14.05934882	-38.73065719	-3.945366889	2.0106
Occ5	14.05934882	-38.49625719	-1.6953668	2.0106
Occ6	11.24654877	-39.90265721	-12.19536722	2.0106
Occ7	10.77774876	-40.37145722	-9.795367122	2.0106
Occ8	10.77774876	-40.60585722	-7.095367014	2.0106
Occ9	10.77774876	-40.84025723	-4.395366907	2.0106
Occ10	10.30894876	-41.30905724	-1.6953668	2.0106
