onset	duration	stim_frequency	stim_amplitude	pulse_width	stim_anodes	stim_cathodes
5.0	3.0	n/a	n/a	n/a	[]	[]
13.1	3.0000000000000018	n/a	n/a	n/a	[]	[]
21.2	3.0	n/a	n/a	n/a	[]	[]
29.2	3.0000000000000036	n/a	n/a	n/a	[]	[]
37.2	3.0	n/a	n/a	n/a	[]	[]
45.2	3.0	n/a	n/a	n/a	[]	[]
53.3	3.0	n/a	n/a	n/a	[]	[]
61.3	3.0	n/a	n/a	n/a	[]	[]
69.4	3.0	n/a	n/a	n/a	[]	[]
77.4	3.0	n/a	n/a	n/a	[]	[]
85.5	3.0	n/a	n/a	n/a	[]	[]
93.6	3.0	n/a	n/a	n/a	[]	[]
101.7	3.0	n/a	n/a	n/a	[]	[]
109.8	3.0	n/a	n/a	n/a	[]	[]
117.8	3.0	n/a	n/a	n/a	[]	[]
