onset	duration	stim_frequency	stim_amplitude	pulse_width	stim_anodes	stim_cathodes
5.0	5.0	n/a	n/a	n/a	[]	[]
15.0	5.0	n/a	n/a	n/a	[]	[]
25.0	5.0	n/a	n/a	n/a	[]	[]
35.0	5.0	n/a	n/a	n/a	[]	[]
45.0	5.0	n/a	n/a	n/a	[]	[]
55.0	5.0	n/a	n/a	n/a	[]	[]
65.0	5.0	n/a	n/a	n/a	[]	[]
75.0	5.0	n/a	n/a	n/a	[]	[]
85.0	5.0	n/a	n/a	n/a	[]	[]
95.0	5.0	n/a	n/a	n/a	[]	[]
105.0	5.0	n/a	n/a	n/a	[]	[]
115.0	5.0	n/a	n/a	n/a	[]	[]
125.0	5.0	n/a	n/a	n/a	[]	[]
135.0	5.0	n/a	n/a	n/a	[]	[]
145.0	5.0	n/a	n/a	n/a	[]	[]
155.0	5.0	n/a	n/a	n/a	[]	[]
165.0	5.0	n/a	n/a	n/a	[]	[]
175.0	-175.0	n/a	n/a	n/a	[]	[]
