onset	duration	stim_frequency	stim_amplitude	pulse_width	stim_anodes	stim_cathodes
2.0	0.5	0.04757373929590866	4.0	200.0	['CH13']	['CH15']
3.5	0.5	0.04757373929590866	4.0	200.0	['CH13']	['CH15']
5.0	0.5	0.04757373929590866	4.0	200.0	['CH13']	['CH15']
6.5	0.5	0.04757373929590866	4.0	200.0	['CH13']	['CH15']
8.0	0.5	0.04757373929590866	4.0	200.0	['CH13']	['CH15']
9.5	0.5	0.04757373929590866	4.0	200.0	['CH13']	['CH15']
11.0	0.5	0.04757373929590866	4.0	200.0	['CH13']	['CH15']
12.5	0.5	0.04757373929590866	4.0	200.0	['CH13']	['CH15']
14.0	0.5	0.04757373929590866	4.0	200.0	['CH13']	['CH15']
15.5	0.5	0.04757373929590866	4.0	200.0	['CH13']	['CH15']
17.0	0.5	0.04757373929590866	4.0	200.0	['CH13']	['CH15']
18.5	0.5	0.04757373929590866	4.0	200.0	['CH13']	['CH15']
20.0	0.5	0.04757373929590866	4.0	200.0	['CH13']	['CH15']
21.5	0.5	0.04757373929590866	4.0	200.0	['CH13']	['CH15']
23.0	0.5	0.04757373929590866	4.0	200.0	['CH13']	['CH15']
24.5	0.5	0.04757373929590866	4.0	200.0	['CH13']	['CH15']
26.0	0.5	0.04757373929590866	4.0	200.0	['CH13']	['CH15']
27.5	0.5	0.04757373929590866	4.0	200.0	['CH13']	['CH15']
29.0	0.5	0.04757373929590866	4.0	200.0	['CH13']	['CH15']
30.5	0.5	0.04757373929590866	4.0	200.0	['CH13']	['CH15']
32.0	0.5	0.04757373929590866	4.0	200.0	['CH13']	['CH15']
33.5	0.5	0.04757373929590866	4.0	200.0	['CH13']	['CH15']
35.0	0.5	0.04757373929590866	4.0	200.0	['CH13']	['CH15']
36.5	0.5	0.04757373929590866	4.0	200.0	['CH13']	['CH15']
38.0	0.5	0.04757373929590866	4.0	200.0	['CH13']	['CH15']
39.5	0.5	0.04757373929590866	4.0	200.0	['CH13']	['CH15']
41.0	0.5	0.04757373929590866	4.0	200.0	['CH13']	['CH15']
42.5	0.5	0.04757373929590866	4.0	200.0	['CH13']	['CH15']
44.0	0.5	0.04757373929590866	4.0	200.0	['CH13']	['CH15']
45.5	0.5	0.04757373929590866	4.0	200.0	['CH13']	['CH15']
