onset	duration	stim_frequency	stim_amplitude	pulse_width	stim_anodes	stim_cathodes
2.0	0.5	0.062421972534332085	3.0	200.0	['CH23']	['CH20']
3.5	0.5	0.062421972534332085	3.0	200.0	['CH23']	['CH20']
5.0	0.5	0.062421972534332085	3.0	200.0	['CH23']	['CH20']
6.5	0.5	0.062421972534332085	3.0	200.0	['CH23']	['CH20']
8.0	0.5	0.062421972534332085	3.0	200.0	['CH23']	['CH20']
9.5	0.5	0.062421972534332085	3.0	200.0	['CH23']	['CH20']
11.0	0.5	0.062421972534332085	3.0	200.0	['CH23']	['CH20']
12.5	0.5	0.062421972534332085	3.0	200.0	['CH23']	['CH20']
14.0	0.5	0.062421972534332085	3.0	200.0	['CH23']	['CH20']
15.5	0.5	0.062421972534332085	3.0	200.0	['CH23']	['CH20']
17.0	0.5	0.062421972534332085	3.0	200.0	['CH23']	['CH20']
18.5	0.5	0.062421972534332085	3.0	200.0	['CH23']	['CH20']
20.0	0.5	0.062421972534332085	3.0	200.0	['CH23']	['CH20']
21.5	0.5	0.062421972534332085	3.0	200.0	['CH23']	['CH20']
23.0	0.5	0.062421972534332085	3.0	200.0	['CH23']	['CH20']
24.5	0.5	0.062421972534332085	3.0	200.0	['CH23']	['CH20']
26.0	0.5	0.062421972534332085	3.0	200.0	['CH23']	['CH20']
27.5	0.5	0.062421972534332085	3.0	200.0	['CH23']	['CH20']
29.0	0.5	0.062421972534332085	3.0	200.0	['CH23']	['CH20']
30.5	0.5	0.062421972534332085	3.0	200.0	['CH23']	['CH20']
32.0	0.5	0.062421972534332085	3.0	200.0	['CH23']	['CH20']
33.5	0.5	0.062421972534332085	3.0	200.0	['CH23']	['CH20']
35.0	0.5	0.062421972534332085	3.0	200.0	['CH23']	['CH20']
36.5	0.5	0.062421972534332085	3.0	200.0	['CH23']	['CH20']
38.0	0.5	0.062421972534332085	3.0	200.0	['CH23']	['CH20']
39.5	0.5	0.062421972534332085	3.0	200.0	['CH23']	['CH20']
41.0	0.5	0.062421972534332085	3.0	200.0	['CH23']	['CH20']
42.5	0.5	0.062421972534332085	3.0	200.0	['CH23']	['CH20']
44.0	0.5	0.062421972534332085	3.0	200.0	['CH23']	['CH20']
45.5	0.5	0.062421972534332085	3.0	200.0	['CH23']	['CH20']
