onset	duration	stim_frequency	stim_amplitude	pulse_width	stim_anodes	stim_cathodes
2.0	0.5	0.04757373929590866	4.0	200.0	['CH28']	['CH31']
3.5	0.5	0.04757373929590866	4.0	200.0	['CH28']	['CH31']
5.0	0.5	0.04757373929590866	4.0	200.0	['CH28']	['CH31']
6.5	0.5	0.04757373929590866	4.0	200.0	['CH28']	['CH31']
8.0	0.5	0.04757373929590866	4.0	200.0	['CH28']	['CH31']
9.5	0.5	0.04757373929590866	4.0	200.0	['CH28']	['CH31']
11.0	0.5	0.04757373929590866	4.0	200.0	['CH28']	['CH31']
12.5	0.5	0.04757373929590866	4.0	200.0	['CH28']	['CH31']
14.0	0.5	0.04757373929590866	4.0	200.0	['CH28']	['CH31']
15.5	0.5	0.04757373929590866	4.0	200.0	['CH28']	['CH31']
17.0	0.5	0.04757373929590866	4.0	200.0	['CH28']	['CH31']
18.5	0.5	0.04757373929590866	4.0	200.0	['CH28']	['CH31']
20.0	0.5	0.04757373929590866	4.0	200.0	['CH28']	['CH31']
21.5	0.5	0.04757373929590866	4.0	200.0	['CH28']	['CH31']
23.0	0.5	0.04757373929590866	4.0	200.0	['CH28']	['CH31']
24.5	0.5	0.04757373929590866	4.0	200.0	['CH28']	['CH31']
26.0	0.5	0.04757373929590866	4.0	200.0	['CH28']	['CH31']
27.5	0.5	0.04757373929590866	4.0	200.0	['CH28']	['CH31']
29.0	0.5	0.04757373929590866	4.0	200.0	['CH28']	['CH31']
30.5	0.5	0.04757373929590866	4.0	200.0	['CH28']	['CH31']
32.0	0.5	0.04757373929590866	4.0	200.0	['CH28']	['CH31']
33.5	0.5	0.04757373929590866	4.0	200.0	['CH28']	['CH31']
35.0	0.5	0.04757373929590866	4.0	200.0	['CH28']	['CH31']
36.5	0.5	0.04757373929590866	4.0	200.0	['CH28']	['CH31']
38.0	0.5	0.04757373929590866	4.0	200.0	['CH28']	['CH31']
39.5	0.5	0.04757373929590866	4.0	200.0	['CH28']	['CH31']
41.0	0.5	0.04757373929590866	4.0	200.0	['CH28']	['CH31']
42.5	0.5	0.04757373929590866	4.0	200.0	['CH28']	['CH31']
44.0	0.5	0.04757373929590866	4.0	200.0	['CH28']	['CH31']
45.5	0.5	0.04757373929590866	4.0	200.0	['CH28']	['CH31']
