onset	duration	stim_frequency	stim_amplitude	pulse_width	stim_anodes	stim_cathodes
2.0	0.7999999999999998	0.32573289902280134	0.1	250.0	['CH7']	['CH6']
7.2	-7.2	0.32573289902280134	0.1	250.0	['CH7']	['CH6']
13.6	15.4	0.32573289902280134	0.1	250.0	['CH7']	['CH6']
33.4	-33.4	0.32573289902280134	0.1	250.0	['CH7']	['CH6']
54.7	22.299999999999997	0.32573289902280134	0.1	250.0	['CH7']	['CH6']
81.3	-81.3	0.32573289902280134	0.1	250.0	['CH7']	['CH6']
86.4	50.29999999999998	0.32573289902280134	0.1	250.0	['CH7']	['CH6']
140.9	14.599999999999994	0.32573289902280134	0.1	250.0	['CH7']	['CH6']
159.9	1.5	0.32573289902280134	0.1	250.0	['CH7']	['CH6']
165.8	13.199999999999989	0.32573289902280134	0.1	250.0	['CH7']	['CH6']
183.2	-183.2	0.32573289902280134	0.1	250.0	['CH7']	['CH6']
