onset	duration	stim_frequency	stim_amplitude	pulse_width	stim_anodes	stim_cathodes
2.0	0.5	0.16611295681063123	1.0	200.0	['CH0']	['CH17', 'CH18', 'CH19']
4.5	0.5	0.16611295681063123	1.0	200.0	['CH0']	['CH17', 'CH18', 'CH19']
7.0	0.5	0.16611295681063123	1.0	200.0	['CH0']	['CH17', 'CH18', 'CH19']
9.5	0.5	0.16611295681063123	1.0	200.0	['CH0']	['CH17', 'CH18', 'CH19']
12.0	0.5	0.16611295681063123	1.0	200.0	['CH0']	['CH17', 'CH18', 'CH19']
14.5	0.5	0.16611295681063123	1.0	200.0	['CH0']	['CH17', 'CH18', 'CH19']
17.0	0.5	0.16611295681063123	1.0	200.0	['CH0']	['CH17', 'CH18', 'CH19']
19.5	0.5	0.16611295681063123	1.0	200.0	['CH0']	['CH17', 'CH18', 'CH19']
22.0	0.5	0.16611295681063123	1.0	200.0	['CH0']	['CH17', 'CH18', 'CH19']
24.5	0.5	0.16611295681063123	1.0	200.0	['CH0']	['CH17', 'CH18', 'CH19']
27.0	0.5	0.16611295681063123	1.0	200.0	['CH0']	['CH17', 'CH18', 'CH19']
29.5	0.5	0.16611295681063123	1.0	200.0	['CH0']	['CH17', 'CH18', 'CH19']
32.0	0.5	0.16611295681063123	1.0	200.0	['CH0']	['CH17', 'CH18', 'CH19']
34.5	0.5	0.16611295681063123	1.0	200.0	['CH0']	['CH17', 'CH18', 'CH19']
37.0	0.5	0.16611295681063123	1.0	200.0	['CH0']	['CH17', 'CH18', 'CH19']
39.5	0.5	0.16611295681063123	1.0	200.0	['CH0']	['CH17', 'CH18', 'CH19']
42.0	0.5	0.16611295681063123	1.0	200.0	['CH0']	['CH17', 'CH18', 'CH19']
44.5	0.5	0.16611295681063123	1.0	200.0	['CH0']	['CH17', 'CH18', 'CH19']
47.0	0.5	0.16611295681063123	1.0	200.0	['CH0']	['CH17', 'CH18', 'CH19']
49.5	0.5	0.16611295681063123	1.0	200.0	['CH0']	['CH17', 'CH18', 'CH19']
52.0	0.5	0.16611295681063123	1.0	200.0	['CH0']	['CH17', 'CH18', 'CH19']
54.5	0.5	0.16611295681063123	1.0	200.0	['CH0']	['CH17', 'CH18', 'CH19']
57.0	0.5	0.16611295681063123	1.0	200.0	['CH0']	['CH17', 'CH18', 'CH19']
59.5	0.5	0.16611295681063123	1.0	200.0	['CH0']	['CH17', 'CH18', 'CH19']
62.0	0.5	0.16611295681063123	1.0	200.0	['CH0']	['CH17', 'CH18', 'CH19']
