onset	duration	stim_frequency	stim_amplitude	pulse_width	stim_anodes	stim_cathodes
2.0	0.5	0.06578947368421052	3.0	250.0	['CH0']	['CH6']
5.5	0.5	0.06578947368421052	3.0	250.0	['CH0']	['CH6']
9.0	0.5	0.06578947368421052	3.0	250.0	['CH0']	['CH6']
12.5	0.5	0.06578947368421052	3.0	250.0	['CH0']	['CH6']
16.0	0.5	0.06578947368421052	3.0	250.0	['CH0']	['CH6']
107.0	0.5	0.06578947368421052	3.0	250.0	['CH0']	['CH6']
110.5	0.5	0.06578947368421052	3.0	250.0	['CH0']	['CH6']
114.0	0.5	0.06578947368421052	3.0	250.0	['CH0']	['CH6']
117.5	0.5	0.06578947368421052	3.0	250.0	['CH0']	['CH6']
121.0	0.5	0.06578947368421052	3.0	250.0	['CH0']	['CH6']
