onset	duration	stim_frequency	stim_amplitude	pulse_width	stim_anodes	stim_cathodes
5.0	5.0	n/a	n/a	n/a	[]	[]
15.1	5.000000000000002	n/a	n/a	n/a	[]	[]
25.2	5.0	n/a	n/a	n/a	[]	[]
35.3	5.0	n/a	n/a	n/a	[]	[]
45.4	5.0	n/a	n/a	n/a	[]	[]
55.5	5.0	n/a	n/a	n/a	[]	[]
65.6	5.0	n/a	n/a	n/a	[]	[]
75.7	5.0	n/a	n/a	n/a	[]	[]
85.8	5.0	n/a	n/a	n/a	[]	[]
95.9	5.0	n/a	n/a	n/a	[]	[]
106.0	5.0	n/a	n/a	n/a	[]	[]
116.1	5.0	n/a	n/a	n/a	[]	[]
126.2	4.999999999999986	n/a	n/a	n/a	[]	[]
136.3	5.0	n/a	n/a	n/a	[]	[]
146.4	5.0	n/a	n/a	n/a	[]	[]
